Length,Mean,Median
3,0.2085519863333502,0.20833756300044115
4,0.20818635559999166,0.20563077099996008
5,0.20967612650004716,0.20759520849969704
6,0.21196384199987126,0.2081386254994868
7,0.20918417233330425,0.20953599999984363
8,0.210915438966731,0.21099043799995343
9,0.24206728619989615,0.23973718749994077
10,0.5632181987333752,0.5604593335001482
