Length,Mean,Median
3,0.21359647656687836,0.21103085450067738
4,0.21085057243326447,0.21006143749946204
5,0.21047593620035818,0.21127516649994504
6,0.20998185570006173,0.20807587499893998
7,0.20865384733327422,0.2104535210000904
8,0.2097687500668447,0.2091820204996111
9,0.2399932403666753,0.23762083299970982
10,0.5573218821666159,0.5544669165001324
11,4.3595107157670405,4.362306959999842
